TAG,CL,CD,NS,NR,SS,SR,SRT,PLT,TAG,Site_name,REGION,,,,,,,
246,2,4,3,0,2,0,2,10,246,Buckhorn,WACASL,,,,,,,
318,1,4,2,0,3,0,2.1,10,318,Buckhorn,WACASL,,,,,,,
427,2,3,3,0,3,0,2,10,427,Buckhorn,WACASL,,,,,,,
2140,1,4,3,0,3,0,2,10,2140,Buckhorn,WACASL,,,,,,,
2142,1,3,3,0,3,0,1.9,10,2142,Buckhorn,WACASL,,,,,,,
2161,2,4,3,0,3,0,2.5,10,2161,Buckhorn,WACASL,,,,,,,
4532,1,4,3,0,3,0,2.1,10,4532,Buckhorn,WACASL,,,,,,,
4565,1,4,3,0,3,0,2.2,10,4565,Buckhorn,WACASL,,,,,,,
4704,1,4,3,0,2,0,2.3,10,4704,Buckhorn,WACASL,,,,,,,
4750,2,4,2,0,3,0,2.1,10,4750,Buckhorn,WACASL,,,,,,,
5250,2,3,3,0,2,0,1.8,10,5250,Buckhorn,WACASL,,,,,,,
5282,2,3,3,1,2,0,1.1,10,5282,Buckhorn,WACASL,,,,,,,
5402,2,4,3,0,3,0,2.2,10,5402,Buckhorn,WACASL,,,,,,,
5438,1,4,3,0,2,0,2.1,10,5438,Buckhorn,WACASL,,,,,,,
6906,1,4,3,0,3,0,2.2,10,6906,Buckhorn,WACASL,,,,,,,
6939,3,1,2,0,2,0,0.7,10,6939,Buckhorn,WACASL,,,,,,,
9093,1,4,2,0,3,0,2.1,10,9093,Buckhorn,WACASL,,,,,,,
9150,1,4,3,0,3,0,2.3,10,9150,Buckhorn,WACASL,,,,,,,
9250,1,4,3,0,2,0,2.1,10,9250,Buckhorn,WACASL,,,,,,,
9302,2,3,3,0,3,0,1.5,10,9302,Buckhorn,WACASL,,,,,,,
1669,2,3,3,0,3,0,1.4,11,1669,Buckhorn,ORCSTN,,,,,,,
1707,1,4,3,0,3,0,2.4,11,1707,Buckhorn,ORCSTN,,,,,,,
2479,1,4,3,0,2,0,2.1,11,2479,Buckhorn,ORCSTN,,,,,,,
2503,1,4,3,0,2,0,2.1,11,2503,Buckhorn,ORCSTN,,,,,,,
2558,2,4,3,0,3,0,2.3,11,2558,Buckhorn,ORCSTN,,,,,,,
2601,1,4,3,0,3,0,2.2,11,2601,Buckhorn,ORCSTN,,,,,,,
4321,1,4,3,0,2,0,1.9,11,4321,Buckhorn,ORCSTN,,,,,,,
4337,,,,,,,,11,4337,Buckhorn,ORCSTN,,,,,,,
4370,2,4,2,0,2,0,2.4,11,4370,Buckhorn,ORCSTN,,,,,,,
4421,2,4,2,0,2,0,1.3,11,4421,Buckhorn,ORCSTN,,,,,,,
6441,1,3,3,0,3,0,1.2,11,6441,Buckhorn,ORCSTN,,,,,,,
6486,2,4,3,0,3,0,2.2,11,6486,Buckhorn,ORCSTN,,,,,,,
7199,2,3,3,0,2,0,1.5,11,7199,Buckhorn,ORCSTN,,,,,,,
7249,2,3,3,0,3,0,1.7,11,7249,Buckhorn,ORCSTN,,,,,,,
7275,2,4,3,0,3,0,1.9,11,7275,Buckhorn,ORCSTN,,,,,,,
7320,1,4,2,0,2,0,2.1,11,7320,Buckhorn,ORCSTN,,,,,,,
8904,2,4,2,0,3,0,2.3,11,8904,Buckhorn,ORCSTN,,,,,,,
8936,1,4,3,0,2,0,2.3,11,8936,Buckhorn,ORCSTN,,,,,,,
8973,1,4,2,0,2,0,2.3,11,8973,Buckhorn,ORCSTN,,,,,,,
9006,1,3,3,0,3,0,1.7,11,9006,Buckhorn,ORCSTN,,,,,,,
353,1,4,3,0,3,0,2,12,353,Buckhorn,WACASH,,,,,,,
398,2,4,3,0,2,0,1.9,12,398,Buckhorn,WACASH,,,,,,,
523,2,2,3,0,3,0,1,12,523,Buckhorn,WACASH,,,,,,,
556,1,4,2,0,3,0,1.5,12,556,Buckhorn,WACASH,,,,,,,
2023,1,4,3,0,2,0,2.1,12,2023,Buckhorn,WACASH,,,,,,,
2086,2,4,3,0,2,0,1.8,12,2086,Buckhorn,WACASH,,,,,,,
2208,2,3,3,1,3,1,1.5,12,2208,Buckhorn,WACASH,,,,,,,
2273,2,4,3,0,3,0,2.3,12,2273,Buckhorn,WACASH,,,,,,,
2307,2,3,3,0,3,0,1.1,12,2307,Buckhorn,WACASH,,,,,,,
2328,2,3,3,0,3,0,2,12,2328,Buckhorn,WACASH,,,,,,,
5323,2,4,3,0,3,0,2,12,5323,Buckhorn,WACASH,,,,,,,
5354,2,3,3,0,3,0,1.8,12,5354,Buckhorn,WACASH,,,,,,,
